year,county,stage,station_id,yield_bu_acre,acres_planted,acres_harvested,production_bu,harvest_efficiency,opt_temp_min,opt_temp_max,opt_precip,stage_duration_days,stage_start_date,stage_end_date,days_with_data,expected_days,data_completeness,PRCP_total,PRCP_avg,PRCP_max,TAVG_avg,TMAX_avg,TMIN_avg,TMAX_max,TMIN_min,SNOW_total,SNWD_avg,SNWD_max,AWND_avg,WT03_count,WT05_count,WT10_count,WT11_count,temp_deviation,temp_stress_indicator,cold_stress_flag,heat_stress_flag,precip_deviation,drought_risk_flag,flood_risk_flag,water_stress_indicator,total_extreme_weather_days,hail_events,tornado_events,high_wind_events,thunder_events,critical_hail_reproductive,GDD
2019,CHAMPAIGN,vegetative,USW00093815,45.8,88500,88000,4026000,99.44,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,7.55,0.1540816326530612,1.52,74.44897959183673,84.06122448979592,65.77551020408163,93.0,50.0,0.0,0.0,0.0,8.65530612244898,16,1,0,0,49.45,1.482,0,1,92.45,1,0,0.624,17,1,0,0,16,0,37.89
2019,CHAMPAIGN,reproductive,USW00093815,45.8,88500,88000,4026000,99.44,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,4.23,0.05158536585365854,1.86,73.0,84.09756097560975,62.28048780487805,94.0,44.0,0.0,0.0,0.0,7.802073170731706,10,0,0,0,48.0,1.607,0,1,120.77,1,0,0.666,10,0,0,0,10,0,36.14
2019,CLARK,germination,USW00093815,44.1,65500,65200,2877000,99.54,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,4.19,0.18217391304347827,1.26,65.69565217391305,75.08695652173913,56.73913043478261,88.0,42.0,0.0,0.0,0.0,9.64782608695652,9,0,0,0,48.2,2.285,0,1,45.81,1,0,0.616,9,0,0,0,9,0,33.37
2019,CLARK,vegetative,USW00093815,44.1,65500,65200,2877000,99.54,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,7.55,0.1540816326530612,1.52,74.44897959183673,84.06122448979592,65.77551020408163,93.0,50.0,0.0,0.0,0.0,8.65530612244898,16,1,0,0,49.45,1.482,0,1,92.45,1,0,0.624,17,1,0,0,16,0,37.89
2019,CLARK,reproductive,USW00093815,44.1,65500,65200,2877000,99.54,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,4.23,0.05158536585365854,1.86,73.0,84.09756097560975,62.28048780487805,94.0,44.0,0.0,0.0,0.0,7.802073170731706,10,0,0,0,48.0,1.607,0,1,120.77,1,0,0.666,10,0,0,0,10,0,36.14
2019,CLINTON,germination,USW00093815,55.9,97000,96300,5387000,99.28,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,4.19,0.18217391304347827,1.26,65.69565217391305,75.08695652173913,56.73913043478261,88.0,42.0,0.0,0.0,0.0,9.64782608695652,9,0,0,0,48.2,2.285,0,1,45.81,1,0,0.616,9,0,0,0,9,0,33.37
2019,CLINTON,vegetative,USW00093815,55.9,97000,96300,5387000,99.28,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,7.55,0.1540816326530612,1.52,74.44897959183673,84.06122448979592,65.77551020408163,93.0,50.0,0.0,0.0,0.0,8.65530612244898,16,1,0,0,49.45,1.482,0,1,92.45,1,0,0.624,17,1,0,0,16,0,37.89
2019,CLINTON,reproductive,USW00093815,55.9,97000,96300,5387000,99.28,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,4.23,0.05158536585365854,1.86,73.0,84.09756097560975,62.28048780487805,94.0,44.0,0.0,0.0,0.0,7.802073170731706,10,0,0,0,48.0,1.607,0,1,120.77,1,0,0.666,10,0,0,0,10,0,36.14
2019,COLUMBIANA,germination,USW00014852,40.2,23000,22800,917000,99.13,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,4.26,0.1852173913043478,0.93,62.08695652173913,73.43478260869566,50.43478260869565,87.0,37.0,0.0,0.0,0.0,7.87782608695652,6,0,0,0,44.59,2.104,0,1,45.74,1,0,0.615,6,0,0,0,6,0,30.22
2019,COLUMBIANA,vegetative,USW00014852,40.2,23000,22800,917000,99.13,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,10.969999999999999,0.22387755102040813,1.42,70.71428571428571,81.40816326530613,60.142857142857146,91.0,41.0,0.0,0.0,0.0,6.856734693877551,18,0,0,0,45.71,1.357,0,1,89.03,1,0,0.59,18,0,0,0,18,0,35.07
2019,COLUMBIANA,reproductive,USW00014852,40.2,23000,22800,917000,99.13,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,9.84,0.12,2.67,68.17073170731707,79.09756097560975,57.58536585365854,91.0,40.0,0.0,0.0,0.0,6.665,16,0,0,0,43.17,1.435,0,1,115.16,1,0,0.621,16,0,0,0,16,0,33.79
2019,CRAWFORD,germination,USW00014821,53.4,88000,87600,4678000,99.55,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,3.6599999999999997,0.1591304347826087,1.35,67.0,76.56521739130434,57.82608695652174,88.0,41.0,0.0,0.0,0.0,8.169565217391304,6,0,0,0,49.5,2.35,0,1,46.34,1,0,0.627,6,0,0,0,6,0,33.91
